grade strategy,selection,crossover,mutation,x,y,best,mean,std,all params
max,lexicase,heuristic,gaussian,-833.7983788,2808.075738,13271519.95,13132348.97,21890.89514,"Grade strategy: max, Selection: lexicase, Crossover: heuristic, Mutation: gaussian, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,lexicase,uniform,gaussian,-686.1327929,2938.65736,13147480.49,12973727.75,31350.51172,"Grade strategy: max, Selection: lexicase, Crossover: uniform, Mutation: gaussian, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,lexicase,arithmetic,gaussian,2802.841817,-763.6716029,12713905.26,12531813.79,31201.51927,"Grade strategy: max, Selection: lexicase, Crossover: arithmetic, Mutation: gaussian, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,lexicase,one_point,gaussian,-742.0721896,2760.497688,12276012.1,12125210.24,27614.6591,"Grade strategy: max, Selection: lexicase, Crossover: one_point, Mutation: gaussian, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,tournament,one_point,gaussian,-474.5733705,1114.641246,2529101.83,2427763.671,36838.39856,"Grade strategy: max, Selection: tournament, Crossover: one_point, Mutation: gaussian, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,tournament,uniform,gaussian,1106.130177,-473.1035759,2491137.292,2371497.957,41440.02258,"Grade strategy: max, Selection: tournament, Crossover: uniform, Mutation: gaussian, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,tournament,heuristic,gaussian,914.8246578,-415.6614585,1767783.258,1656630.468,31314.15221,"Grade strategy: max, Selection: tournament, Crossover: heuristic, Mutation: gaussian, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,tournament,arithmetic,gaussian,-199.0319619,868.0692648,1141174.871,1069803.592,20397.00079,"Grade strategy: max, Selection: tournament, Crossover: arithmetic, Mutation: gaussian, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,stochastic_universal_sampling,one_point,gaussian,700.0919578,-288.3472476,975241.862,770331.0178,83170.34952,"Grade strategy: max, Selection: stochastic_universal_sampling, Crossover: one_point, Mutation: gaussian, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,stochastic_universal_sampling,uniform,gaussian,-291.4380366,644.8757175,878734.7923,680768.6769,82073.36986,"Grade strategy: max, Selection: stochastic_universal_sampling, Crossover: uniform, Mutation: gaussian, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,stochastic_universal_sampling,heuristic,gaussian,672.0844841,-107.5943602,606622.148,507177.895,40527.11594,"Grade strategy: max, Selection: stochastic_universal_sampling, Crossover: heuristic, Mutation: gaussian, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
